1;arms_factory;4104.00;11.20;914.00;5.05;0
1;arms_factory;4114.00;11.05;915.00;6.25;0
1;arms_factory;4118.00;10.60;928.00;4.09;0
1;arms_factory;4108.00;10.65;956.00;0.47;0
1;arms_factory;4116.00;10.90;943.00;2.04;0
1;arms_factory;4109.00;10.90;950.00;4.70;0
1;industrial_complex;4104.00;10.98;940.00;2.54;0
1;industrial_complex;4102.00;10.70;923.00;3.74;0
1;industrial_complex;4101.00;10.90;937.00;0.48;0
1;industrial_complex;4115.00;10.60;920.00;3.14;0
1;industrial_complex;4112.00;10.65;928.00;5.81;0
1;industrial_complex;4102.00;11.20;913.00;2.54;0
1;air_base;4110.00;10.90;943.00;5.21;0
1;bunker;4103.00;10.90;950.00;1.59;0
1;bunker;4100.00;10.65;924.00;4.25;0
1;bunker;4107.00;10.80;935.00;0.99;0
1;bunker;4113.00;10.70;918.00;3.66;0
1;bunker;4105.00;11.20;914.00;0.04;0
1;bunker;4105.00;10.98;939.00;2.70;0
1;bunker;4117.00;10.60;928.00;5.72;0
1;bunker;4109.00;10.90;946.00;0.64;0
1;bunker;4103.00;11.20;916.00;4.76;0
1;bunker;4111.00;10.70;925.00;2.61;0
1;anti_air_building;4103.00;10.95;944.00;2.71;0
1;anti_air_building;4105.00;11.28;912.00;0.55;0
1;anti_air_building;4123.00;10.60;921.00;3.21;0
1;synthetic_refinery;4104.00;11.20;918.00;4.77;0
1;fuel_silo;4109.00;10.70;932.00;1.16;0
1;radar_station;4106.00;10.90;934.00;0.41;0
1;rocket_site;4106.00;10.70;928.00;0.20;0
1;nuclear_reactor;4109.00;10.90;938.00;3.22;0
2;arms_factory;3868.00;9.95;1107.00;4.09;0
2;arms_factory;3849.00;9.90;1109.00;0.47;0
2;arms_factory;3867.00;9.90;1099.00;2.04;0
2;arms_factory;3863.00;9.90;1102.00;4.70;0
2;arms_factory;3917.00;9.93;1106.00;2.54;0
2;arms_factory;3881.00;9.90;1102.00;3.74;0
2;industrial_complex;3892.00;10.03;1087.00;0.48;0
2;industrial_complex;3902.00;9.95;1095.00;3.14;0
2;industrial_complex;3854.00;9.95;1113.00;5.81;0
2;industrial_complex;3855.00;9.90;1101.00;2.54;0
2;industrial_complex;3849.00;9.90;1110.00;5.21;0
2;industrial_complex;3854.00;9.90;1098.00;1.59;0
2;air_base;3866.00;9.90;1103.00;4.25;0
2;naval_base;3878.00;9.95;1105.00;-2.36;8195
2;naval_base;3914.00;9.65;1105.00;0.98;9323
