1;3624.00;13.05;1026.00;big
1;3746.00;10.20;1012.00;big
2;3746.00;10.85;705.00;big
2;3826.00;9.90;670.00;big
3;3629.00;15.32;935.00;big
3;3547.00;12.70;975.00;big
4;3471.00;10.20;915.00;big
4;3547.00;12.70;846.00;big
5;3693.00;10.20;872.00;big
5;3761.00;10.60;921.00;big
6;3636.00;11.70;784.00;big
6;3630.00;13.40;698.00;big
7;3766.00;12.25;455.00;big
7;3724.00;12.62;568.00;big
8;3572.00;11.30;307.00;big
8;3718.00;10.20;325.00;big
9;3999.00;9.50;517.00;big
9;3901.00;12.88;479.00;big
10;3816.00;9.50;357.00;big
10;3829.00;9.50;421.00;big
11;4142.00;9.50;454.00;big
11;4229.00;9.50;411.00;big
12;4143.00;9.50;302.00;big
12;4007.00;9.50;307.00;big
13;3898.00;9.50;319.00;big
13;3837.00;9.50;281.00;big
14;4027.00;9.50;401.00;big
14;3919.00;9.50;411.00;big
15;3932.00;9.50;240.00;big
15;3961.00;9.50;156.00;big
16;3643.00;9.50;100.00;big
16;3742.00;9.50;225.00;big
17;4035.00;9.50;64.00;big
17;3908.00;9.50;71.00;big
18;3789.00;9.50;62.00;big
18;3832.00;9.50;166.00;big
19;4239.00;9.50;32.00;big
19;4142.00;9.50;68.00;big
20;4451.00;9.50;38.00;big
20;4322.00;9.50;76.00;big
21;4632.00;9.50;103.00;big
21;4569.00;9.50;43.00;big
22;4616.00;9.50;205.00;big
22;4545.00;9.50;179.00;big
23;4710.00;9.50;406.00;big
23;4624.00;9.50;319.00;big
24;4661.00;9.93;638.00;big
24;4717.00;11.48;497.00;big
25;4753.00;15.00;593.00;big
25;4700.00;9.65;660.00;big
26;4545.00;9.50;744.00;big
26;4603.00;9.50;710.00;big
27;4432.00;9.50;843.00;big
27;4470.00;9.50;781.00;big
28;4440.00;9.50;936.00;big
28;4380.00;9.50;983.00;big
29;4333.00;9.50;1056.00;big
29;4254.00;9.50;1089.00;big
30;4157.00;9.50;1051.00;big
30;4095.00;9.50;1093.00;big
31;3947.00;9.50;1117.00;big
31;3836.00;9.50;1155.00;big
32;3703.00;9.50;1141.00;big
32;3604.00;9.50;1090.00;big
33;3501.00;9.50;1040.00;big
33;3414.00;9.50;980.00;big
34;3418.00;9.50;799.00;big
34;3393.00;9.50;888.00;big
35;3472.00;9.50;629.00;big
35;3511.00;9.50;747.00;big
36;3438.00;9.50;465.00;big
36;3420.00;9.50;543.00;big
37;3429.00;9.50;282.00;big
37;3458.00;9.50;374.00;big
38;3556.00;9.50;211.00;big
38;3460.00;9.50;154.00;big
39;4777.00;9.95;479.00;big
39;4807.00;9.50;557.00;big
40;4844.00;9.50;142.00;big
40;4969.00;9.50;389.00;big
41;3967.00;9.50;1264.00;big
41;4291.00;9.50;1232.00;big
42;4779.00;9.50;803.00;big
42;4690.00;9.50;1134.00;big
43;5428.00;9.50;600.00;big
43;4984.00;9.50;609.00;big
44;150.00;9.50;588.00;big
44;290.00;9.50;554.00;big
45;408.00;9.50;412.00;big
45;536.00;9.50;385.00;big
46;735.00;9.65;646.00;big
46;844.00;9.90;547.00;big
47;807.00;9.50;354.00;big
47;675.00;9.50;295.00;big
48;597.00;9.50;710.00;big
48;417.00;9.50;703.00;big
49;184.00;9.50;205.00;big
49;582.00;9.50;160.00;big
50;5419.00;9.50;344.00;big
50;5383.00;9.50;92.00;big
51;1245.00;12.60;628.00;big
51;1009.00;9.50;572.00;big
52;1381.00;9.50;429.00;big
52;1472.00;9.90;563.00;big
53;1376.00;9.50;725.00;big
53;1505.00;9.50;746.00;big
54;1773.00;9.50;736.00;big
54;1659.00;9.90;665.00;big
55;1655.00;9.50;145.00;big
55;1732.00;9.50;502.00;big
56;1356.00;9.50;136.00;big
56;1042.00;9.50;198.00;big
57;2366.00;9.50;689.00;big
57;1985.00;9.50;733.00;big
58;2771.00;9.50;877.00;big
58;2783.00;9.50;569.00;big
59;3229.00;9.50;561.00;big
59;3266.00;9.50;833.00;big
60;3230.00;9.50;210.00;big
60;2873.00;9.50;184.00;big
61;2472.00;9.50;233.00;big
61;2085.00;9.50;265.00;big
62;5365.00;9.50;1012.00;big
62;5346.00;9.50;1475.00;big
63;4442.00;9.50;1580.00;big
63;4909.00;9.50;1570.00;big
64;3930.00;9.50;1589.00;big
64;3954.00;9.50;1897.00;big
65;5389.00;9.50;1890.00;big
65;4699.00;9.50;1913.00;big
66;299.00;9.50;1509.00;big
66;266.00;9.50;988.00;big
67;353.00;9.50;1884.00;big
67;1076.00;9.50;1828.00;big
68;900.00;9.50;1404.00;big
68;1088.00;9.50;938.00;big
69;1569.00;9.50;1001.00;big
69;1785.00;9.50;1351.00;big
70;2335.00;9.50;1344.00;big
70;2806.00;9.50;1325.00;big
71;3388.00;9.50;1206.00;big
71;3315.00;9.50;1569.00;big
72;2732.00;9.50;1871.00;big
72;3360.00;9.50;1885.00;big
73;1713.00;9.50;1834.00;big
73;2202.00;9.50;1868.00;big
74;3610.00;11.25;455.00;big
74;3515.00;11.20;435.00;big
75;3616.00;10.20;607.00;big
75;3519.00;11.20;571.00;big
76;3880.00;9.90;555.00;big
